,상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
2829,땅땅치킨,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 팔달구 동말로 53(화서동),경기도 수원시 팔달구 화서동 115-4번지,화서동,16439.0,37.2789584691,127.00000155010001
2830,땅땅치킨 매탄점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 영통구 매탄로168번길 141층(매탄동),경기도 수원시 영통구 매탄동 833-2번지 1층,매탄동,16539.0,37.2650468698,127.04622113090001
2831,땅땅치킨 수원성대점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 서부로2123번길 17명문컴퓨터학원 (율전동),경기도 수원시 장안구 율전동 292-7번지 명문컴퓨터학원,율전동,16362.0,37.2981729433,126.9702676235
2832,땅땅치킨 영통점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 영통구 봉영로 1612,1층 111호 (영통동,보보스프라자)",경기도 수원시 영통구 영통동 996-4번지 보보스프라자 1층 111호,영통동,16704.0,37.254508122800004,127.07498325600001
2833,땅땅치킨 조원시장점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 조원로94-1 (조원동),경기도 수원시 장안구 조원동 733-20번지,조원동,16282.0,37.301297021799996,127.0156845156
2834,땅땅치킨 호매실점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 권선구 칠보로235번길 13,1층 (호매실동)",경기도 수원시 권선구 호매실동 89-1번지 1층,호매실동,16395.0,37.269323935100005,126.9592925575
2835,땅땅치킨(수원경기대점),일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 창훈로 67(연무동),경기도 수원시 장안구 연무동 212-14번지,연무동,16215.0,37.2975081496,127.0283231858
2836,땅땅치킨아주대점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 영통구 동수원로537번길 57,1층 108호 (원천동)",경기도 수원시 영통구 원천동 28-25번지 1층 108호,원천동,16503.0,37.2748347909,127.0459029556
2837,땅땅치킨한일타운점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 경수대로976번길 42(송죽동),경기도 수원시 장안구 송죽동 80번지,송죽동,16298.0,37.3064772221,127.00413000379999
2838,땅스부대찌개 영통점,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 청명남로50번길 18,101호 (영통동)",경기도 수원시 영통구 영통동 1036-5번지 101호,영통동,16705.0,37.2532189345,127.077448753
2839,땅이네푸드,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 권선구 하탑로 61,101호 (탑동,신화빌딩)",경기도 수원시 권선구 탑동 853-5번지 신화빌딩 101호,탑동,16607.0,37.269634648600004,126.9783176686
2840,땅콩,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 팔달구 신풍로45, 1층 (신풍동)",경기도 수원시 팔달구 신풍동 33-3번지 1층,신풍동,16251.0,37.285164696500004,127.01410703319999
