상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
웨이디커피(WAYD COFFEE),일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 팔달구 정조로 8682층 웨이디커피 (북수동),경기도 수원시 팔달구 북수동 171번지 2층 웨이디커피,북수동,16253,37.2855864,127.0158303
웨일스타운(WHALE'S TOWN),일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 장안구 조원로112번길 35,105호 (조원동)",경기도 수원시 장안구 조원동 725-7번지 105호,조원동,16282,37.30387201,127.0149571
웰덤치킨,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 파장로21번길 29,1층 (송죽동)",경기도 수원시 장안구 송죽동 490번지 1층,송죽동,16301,37.3032576,126.9973244
웰덤치킨 수원이목점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 장안로 422,104호 (이목동)",경기도 수원시 장안구 이목동 241-6번지 104호,이목동,16208,37.31746112,126.9821518
웰빙,일반휴게음식-칵테일바,일반휴게음식,칵테일바,경기 수원시 권선구 세지로82번길 33-1(권선동),경기도 수원시 권선구 권선동 982-5번지,권선동,16564,37.25870428,127.0196224
웰빙구니구니세류점,일반휴게음식-주점,일반휴게음식,주점,경기 수원시 권선구 정조로388번길 14가동 103호(세류동),경기도 수원시 권선구 세류동 1159-4번지 가동 103호,세류동,16660,37.24409291,127.0152616
웰빙꼬마김밥,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 화양로 521층 (화서동),경기도 수원시 팔달구 화서동 249-32번지 1층,화서동,16434,37.28260295,126.996424
웰빙반찬,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기도 수원시 권선구 서수원로47번길 9,1층 103,104호(오목천동)","경기도 수원시 권선구 오목천동 1182-3번지 1층 103,104호",오목천동,16640,37.23386626,126.9780795
웰빙밥상,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 세권로 222-6(권선동),경기도 수원시 권선구 권선동 1064-8번지,권선동,16582,37.254313,127.0282205
웰빙엄마손꼬마김밥,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 매실로69번길 10,F동 1층 (호매실동)",경기도 수원시 권선구 호매실동 84-2번지 F동 1층,호매실동,16395,37.26910255,126.9581888
웰빙엄마손꼬마김밥,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 장안로75번길 43,1층 (정자동)",경기도 수원시 장안구 정자동 75-1번지 1층,정자동,16317,37.29022792,127.0004911
웰빙월남쌈,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 동말로 64-1,A동1층(화서동)",경기도 수원시 팔달구 화서동 108-5번지 A동 1층,화서동,16442,37.27864823,127.0012444
웰빙푸드,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 오목천로152번길 40(고색동,수원첨단벤처밸리B07호)",경기도 수원시 권선구 고색동 958번지 수원첨단벤처밸리 B07호,고색동,16642,37.24292209,126.9773518
웰빙푸드,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 오목천로152번길 40B07호 (고색동,수원첨단벤처밸리)",경기도 수원시 권선구 고색동 958번지 수원첨단벤처밸리 B07호,고색동,16642,37.24292209,126.9773518
